boundary 0.0 50.0 50.0 00.0
start 1.29 17.61
end 44.60 17.96
obstacle1 4.81 15.16 1.50
obstacle2 4.58 19.83 1.50
obstacle3 4.69 24.51 1.50
obstacle4 8.49 15.30 1.50
obstacle5 8.72 19.69 1.50
obstacle6 8.95 24.37 1.50
obstacle7 12.99 24.07 1.50
obstacle8 12.99 18.96 1.50
obstacle9 12.76 15.45 1.50
obstacle10 18.05 14.28 1.50
obstacle11 18.29 16.91 1.50
obstacle12 18.17 19.10 1.50
obstacle13 18.29 20.86 1.50
obstacle14 18.29 22.76 1.50
obstacle15 18.29 24.37 1.50
obstacle16 18.17 14.86 1.50
obstacle17 19.67 14.72 1.50
obstacle18 21.51 15.16 1.50
obstacle19 23.01 16.47 1.50
obstacle20 23.35 19.10 1.50
obstacle21 23.12 20.57 1.50
obstacle22 22.66 21.74 1.50
obstacle23 21.63 22.47 1.50
obstacle24 20.59 22.61 1.50
obstacle25 18.05 22.47 1.50
obstacle26 18.98 22.32 1.50
obstacle27 20.24 22.47 1.50
obstacle28 21.74 23.05 1.50
obstacle29 23.47 24.37 1.50
obstacle30 23.82 25.83 1.50
obstacle31 23.70 26.85 1.50
obstacle32 18.52 26.85 1.50
obstacle33 18.75 28.31 1.50
obstacle34 28.42 13.84 1.50
obstacle35 27.62 14.57 1.50
obstacle36 27.16 15.89 1.50
obstacle37 27.16 17.93 1.50
obstacle38 27.16 19.69 1.50
obstacle39 27.16 21.59 1.50
obstacle40 27.27 23.49 1.50
obstacle41 27.16 24.81 1.50
obstacle42 27.16 26.41 1.50
obstacle43 27.73 27.29 1.50
obstacle44 29.00 28.17 1.50
obstacle45 30.73 28.46 1.50
obstacle46 32.11 28.31 1.50
obstacle47 33.84 27.29 1.50
obstacle48 34.41 25.68 1.50
obstacle49 34.41 24.07 1.50
obstacle50 34.41 21.88 1.50
obstacle51 34.41 20.13 1.50
obstacle52 34.41 18.23 1.50
obstacle53 34.30 16.76 1.50
obstacle54 33.15 15.30 1.50
obstacle55 31.42 14.57 1.50
obstacle56 28.88 14.57 1.50
obstacle57 27.39 16.03 1.50
obstacle58 44.55 13.84 1.50
obstacle59 43.40 13.84 1.50
obstacle60 42.59 13.84 1.50
obstacle61 41.56 13.99 1.50
obstacle62 40.64 14.28 1.50
obstacle63 39.83 14.72 1.50
obstacle64 38.68 16.18 1.50
obstacle65 38.56 17.06 1.50
obstacle66 39.83 18.81 1.50
obstacle67 40.87 19.40 1.50
obstacle68 41.79 20.57 1.50
obstacle69 42.94 21.59 1.50
obstacle70 44.09 22.91 1.50
obstacle71 44.90 24.07 1.50
obstacle72 45.70 25.98 1.50
obstacle73 45.82 27.00 1.50
obstacle74 45.82 28.90 1.50
obstacle75 44.67 30.22 1.50
obstacle76 42.94 30.51 1.50
obstacle77 40.87 30.07 1.50
obstacle78 39.71 29.63 1.50
obstacle79 38.79 28.31 1.50
obstacle80 38.45 26.85 1.50
obstacle81 38.56 25.83 1.50
obstacle82 9.53 37.52 5.00
obstacle83 24.16 38.11 5.00
obstacle84 40.98 37.96 5.00
