boundary 0.0 50.0 50.0 00.0
start 24.74 3.31
end 24.97 47.61
obstacle1 14.94 15.30 5.00
obstacle2 35.11 15.45 5.00
obstacle3 25.20 24.95 3.75
obstacle4 8.03 30.51 1.50
obstacle5 8.84 31.53 1.50
obstacle6 9.64 32.70 1.50
obstacle7 10.68 34.31 1.50
obstacle8 11.03 35.33 1.50
obstacle9 12.87 37.23 1.50
obstacle10 14.71 39.86 1.50
obstacle11 16.33 41.18 1.50
obstacle12 17.82 42.35 1.50
obstacle13 20.24 43.08 1.50
obstacle14 22.55 43.08 1.50
obstacle15 25.43 43.08 1.50
obstacle16 27.16 43.08 1.50
obstacle17 29.23 43.08 1.50
obstacle18 30.38 42.79 1.50
obstacle19 31.76 42.64 1.50
obstacle20 32.69 42.35 1.50
obstacle21 34.07 42.06 1.50
obstacle22 35.34 41.62 1.50
obstacle23 36.14 40.89 1.50
obstacle24 36.83 39.86 1.50
obstacle25 37.76 38.84 1.50
obstacle26 38.79 37.67 1.50
obstacle27 39.48 36.79 1.50
obstacle28 39.94 35.48 1.50
obstacle29 40.29 34.89 1.50
obstacle30 40.64 34.31 1.50
obstacle31 40.87 33.72 1.50
obstacle32 41.33 32.99 1.50
obstacle33 13.45 38.84 1.50
obstacle34 23.82 43.52 1.50
obstacle35 13.22 38.84 1.50
